Name,Description,Latitude,Longitude,Auto_Opene,BldName,FID,Floor,description,name
(WAG) WAGGENER HALL,name: kml_1<br>description: <br> Attributes<br>  FID  0 <br>  Auto_Opene  1 <br>  Floor  001 <br>  BldName  (WAG) WAGGENER HALL <br>FID: 0<br>Auto_Opene: 1<br>Floor: 001,30.285271,-97.737505,1,(WAG) WAGGENER HALL,0,001,,kml_1
(SAC) STUDENT ACTIVITY CENTER,name: kml_2<br>description: <br> Attributes<br>  FID  1 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (SAC) STUDENT ACTIVITY CENTER <br>FID: 1<br>Auto_Opene: 1<br>Floor: 01,30.284819,-97.736806,1,(SAC) STUDENT ACTIVITY CENTER,1,01,,kml_2
(PAC) PERFORMING ARTS CENTER,name: kml_3<br>description: <br> Attributes<br>  FID  2 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (PAC) PERFORMING ARTS CENTER <br>FID: 2<br>Auto_Opene: 0<br>Floor: 02,30.285842,-97.731557,0,(PAC) PERFORMING ARTS CENTER,2,02,,kml_3
(PAC) PERFORMING ARTS CENTER,name: kml_4<br>description: <br> Attributes<br>  FID  3 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (PAC) PERFORMING ARTS CENTER <br>FID: 3<br>Auto_Opene: 0<br>Floor: 02,30.285954,-97.731547,0,(PAC) PERFORMING ARTS CENTER,3,02,,kml_4
(DFA) E. WILLIAM DOTY FINE ARTS BUILDING,name: kml_5<br>description: <br> Attributes<br>  FID  4 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (DFA) E. WILLIAM DOTY FINE ARTS BUILDING <br>FID: 4<br>Auto_Opene: 1<br>Floor: 02,30.285893,-97.7319,1,(DFA) E. WILLIAM DOTY FINE ARTS BUILDING,4,02,,kml_5
(DFA) E. WILLIAM DOTY FINE ARTS BUILDING,name: kml_6<br>description: <br> Attributes<br>  FID  5 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (DFA) E. WILLIAM DOTY FINE ARTS BUILDING <br>FID: 5<br>Auto_Opene: 1<br>Floor: 01,30.285785,-97.731929,1,(DFA) E. WILLIAM DOTY FINE ARTS BUILDING,5,01,,kml_6
(JON) JESSE H. JONES HALL,name: kml_7<br>description: <br> Attributes<br>  FID  6 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (JON) JESSE H. JONES HALL <br>FID: 6<br>Auto_Opene: 1<br>Floor: 02,30.288497,-97.731312,1,(JON) JESSE H. JONES HALL,6,02,,kml_7
(TNH) TOWNES HALL,name: kml_8<br>description: <br> Attributes<br>  FID  7 <br>  Auto_Opene  0 <br>  Floor  01 <br>  BldName  (TNH) TOWNES HALL <br>FID: 7<br>Auto_Opene: 0<br>Floor: 01,30.288326,-97.730143,0,(TNH) TOWNES HALL,7,01,,kml_8
(TNH) TOWNES HALL,name: kml_9<br>description: <br> Attributes<br>  FID  8 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (TNH) TOWNES HALL <br>FID: 8<br>Auto_Opene: 1<br>Floor: 02,30.288638,-97.730552,1,(TNH) TOWNES HALL,8,02,,kml_9
(TNH) TOWNES HALL,name: kml_10<br>description: <br> Attributes<br>  FID  9 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (TNH) TOWNES HALL <br>FID: 9<br>Auto_Opene: 1<br>Floor: 02,30.288703,-97.730924,1,(TNH) TOWNES HALL,9,02,,kml_10
(JON) JESSE H. JONES HALL,name: kml_11<br>description: <br> Attributes<br>  FID  10 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (JON) JESSE H. JONES HALL <br>FID: 10<br>Auto_Opene: 1<br>Floor: 01,30.288921,-97.73148,1,(JON) JESSE H. JONES HALL,10,01,,kml_11
(MRH) MUSIC BUILDING AND RECITAL HALL,name: kml_12<br>description: <br> Attributes<br>  FID  11 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (MRH) MUSIC BUILDING AND RECITAL HALL <br>FID: 11<br>Auto_Opene: 0<br>Floor: 02,30.287603,-97.730688,0,(MRH) MUSIC BUILDING AND RECITAL HALL,11,02,,kml_12
